"Source:","/home/etchebest/keyboard/keyboard2_ctrl/keyboard2_ctrl.kicad_sch"
"Date:","Tue 04 Apr 2023 02:01:32 PM CEST"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","0.1","C","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C1","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C3","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C4","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C_xi1","22p","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C_xi2","22p","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","Cerveau1","ATMEGA32U4","keyboard_parts:ATMEGA32U4","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"","","Cglob1","4.7u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_1","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_2","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_3","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_4","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_5","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_6","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_7","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_8","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_9","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_10","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_11","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_12","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_13","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_14","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_15","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_16","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_17","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_18","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_19","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_20","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_21","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_22","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_23","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_24","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_25","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_26","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_27","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_28","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","D_29","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"","","K_1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_2","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_3","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_4","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_5","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_6","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_A1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Alt1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.50u_PCB",""
"","","K_B1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_C1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Caps-Lock1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.75u_PCB",""
"","","K_Ctrl1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.50u_PCB",""
"","","K_D1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_E1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Esc1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_F1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_G1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Lin1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Q1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_R1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_S1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Shift1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_2.25u_PCB",""
"","","K_Space1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_2.75u_PCB",""
"","","K_T1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Tab1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.50u_PCB",""
"","","K_V1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_W1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_X1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","K_Z1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"","","pp1","16pin_pad","perso_lib:16pin_pad","perso:16pin_pad",""
"","","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R_C1","220","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R_C2","220","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R_HWB1","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","SW1","SW_PUSH","keyboard_parts:SW_PUSH","Button_Switch_SMD:SW_SPST_TL3342",""
"","","USB_C1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_Amphenol_12401548E4-2A_CircularHoles","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"","","xital1","XTAL_GND","keyboard_parts:XTAL_GND","Crystal:Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm_HandSoldering",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","0.1","C","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"2","4","C1, C2, C3, C4","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"3","2","C_xi1, C_xi2","22p","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"4","1","Cerveau1","ATMEGA32U4","keyboard_parts:ATMEGA32U4","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"5","1","Cglob1","4.7u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"6","29","D_1, D_2, D_3, D_4, D_5, D_6, D_7, D_8, D_9, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29","D","Device:D","Capacitor_SMD:C_0805_2012Metric","~"
"7","23","K_1, K_2, K_3, K_4, K_5, K_6, K_A1, K_B1, K_C1, K_D1, K_E1, K_Esc1, K_F1, K_G1, K_Lin1, K_Q1, K_R1, K_S1, K_T1, K_V1, K_W1, K_X1, K_Z1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"8","3","K_Alt1, K_Ctrl1, K_Tab1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.50u_PCB",""
"9","1","K_Caps-Lock1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_1.75u_PCB",""
"10","1","K_Shift1","KEYSW","keyboard_parts:KEYSW","Button_Switch_Keyboard:SW_Cherry_MX_2.25u_PCB",""
